trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,3239,3014,2C26,2F16,25C5,2AFB,3242,2B79,32B2,30CB,2964,2EC2,35C6,2E84,3033,31EA,29D8,2FE8,318B,292E,29AE,2BE7,27BD,507E,2E91,0000,0000,0000,0000,0000,0000,0000,0000
00800000,7185,30C6,2D34,2EAA,275C,2CAF,3233,2A3F,3226,30BE,29D8,2FFC,3525,2D83,311F,3231,2A24,3098,2FB1,29E2,2958,2CB2,2657,448D,2EF8,0000,0000,0000,0000,0000,0000,0000,0000
00800000,8E33,3139,2C7B,2EA2,2784,2C23,3217,2A78,3203,300A,2920,302F,3486,2D6D,305C,30C1,2B76,2F3C,2F50,2835,299E,2CB9,27C2,4F98,2D90,0000,0000,0000,0000,0000,0000,0000,0000
00800000,587F,304A,2D78,2E7F,25F7,2BD7,31A0,2AE2,31B0,2FD2,2845,2EB6,337A,2D75,306A,310B,2852,32C2,312C,2AE5,2B6A,2CAA,29BC,4062,30F9,0000,0000,0000,0000,0000,0000,0000,0000
00800000,DC31,2FBD,2BF2,2EF2,2732,2C92,3385,2B7B,3183,3035,2996,2F28,3471,2DAA,3139,3209,2A68,31D7,3057,2A4B,2A1E,2E93,28DF,4649,2EF4,0000,0000,0000,0000,0000,0000,0000,0000
00800000,7622,3189,2DEB,2FCE,2859,2C8A,33A1,2B6D,3315,32F3,2BE7,3170,3571,2FA2,322B,34B7,2B93,3094,3054,29AB,2AD1,2D00,285E,58CD,2F67,0000,0000,0000,0000,0000,0000,0000,0000
00800000,581E,3020,2B87,2E1F,2674,2A16,32AE,297B,31A8,2F63,2945,2F41,3368,2D3F,306E,302A,2969,30F4,3074,29EE,2A46,2D7E,2912,830C,308F,0000,0000,0000,0000,0000,0000,0000,0000
00800000,9040,30B6,2CFA,2F55,27C6,2C82,342A,2B46,33BB,30BB,2A94,30D4,3495,2DE8,305B,324D,2B29,314F,311C,29D0,2A5D,2CD7,28CC,3DE1,3017,0000,0000,0000,0000,0000,0000,0000,0000
00800000,91E8,303F,2B84,2E85,26CC,2AC9,3428,2A4A,317B,305A,29B9,2E60,34CB,2DAC,3047,3248,27B6,30F4,300B,28CE,2864,2CC1,2892,7D32,2FB3,0000,0000,0000,0000,0000,0000,0000,0000
00800000,B137,2FBA,2C24,2F63,26B8,2B12,31EF,299D,32B9,30B0,28D9,3057,33A7,2DEC,3193,32C6,2981,309F,314E,29E5,29CA,2D4C,2914,747E,2FD7,0000,0000,0000,0000,0000,0000,0000,0000
